Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
        1    0.000    0.000    0.064    0.064 random.py:38(<module>)
       40    0.000    0.000    0.001    0.000 _inspect.py:140(formatargspec)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      541    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
  146/100    0.000    0.000    0.001    0.000 typing.py:336(_get_type_vars)
       11    0.000    0.000    0.001    0.000 tempfile.py:146(rng)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.126    0.126 __init__.py:13(<module>)
        2    0.000    0.000    0.007    0.003 process.py:95(start)
       32    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        3    0.000    0.000    0.499    0.166 __init__.py:3(<module>)
      310    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.001    0.000 context.py:59(Pipe)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       88    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      539    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      274    0.000    0.000    0.001    0.000 function_base.py:437(_add_docstring)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      348    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.037    0.037 __init__.py:473(_open_gz)
        8    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytearray' objects}
  422/385    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       41    0.000    0.000    0.011    0.000 sre_compile.py:542(_code)
        2    0.000    0.000    0.007    0.004 function_base.py:1(<module>)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       24    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        1    0.000    0.000    0.000    0.000 tempfile.py:631(SpooledTemporaryFile)
      569    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
